# 切點測資：三語所有排列組合
#
# 15 種組合（中/英/日 的單語重複、兩語、三語排列）× 20 句 = 300 句
# 每種組合 10 句有分隔符空白（標成獨立的 `_` 段）、10 句完全黏著。
#
# 標記規則（依「通用語言輸入法 篩選規則」canvas）：
#   `_`  分隔符空白，自成一段（空白鍵前後均為切點）
#   `|`  切點
#   相鄰同引擎的段視為同一詞列，不切
#   注音的一聲空白被音節吸收，不標
#
# 注音按鍵依「注音按鍵合法表及對照表.md」（使用者核對過）轉換。
#
# 格式：文字期望 <TAB> 按鍵期望 <TAB> 按鍵序列
#
#   第一欄 文字期望：各段用 `|` 分隔，`_` = 分隔符空白自成一段
#   第二欄 按鍵期望：**同樣的切法標在按鍵層級**，`|` 就是切點位置
#   第三欄 按鍵序列：使用者實際按的鍵
#
#   第二欄是計分基準——它不需要任何推導，逐字元比對即可。
#   按鍵序列裡的空白可能是「一聲」也可能是「分隔符」，正是要測的東西：
#     `check| |u vu84`   第一個空白是分隔符（前後都切），第二個是「一」的一聲

已經|_|完成	u3ru/ | |j06t/6	u3ru/  j06t/6
明天|_|記得	au/6wu0 | |ru42k6	au/6wu0  ru42k6
一下|_|沒問題	u vu84| |ao6jp4wu6	u vu84 ao6jp4wu6
好吃|_|買	cl3t | |a93	cl3t  a93
好|_|測試	cl3| |hk4g4	cl3 hk4g4
資料|_|檔案	y xul4| |2;304	y xul4 2;304
可以|_|時間	dk3u3| |g6ru0 	dk3u3 g6ru0 
討論|_|確認	wl3xjp4| |fm,4bp4	wl3xjp4 fm,4bp4
上傳|_|_|已經	g;4tj06| | |u3ru/ 	g;4tj06  u3ru/ 
今天|_|明天	rup wu0 | |au/6wu0 	rup wu0  au/6wu0 
這個一下	5k4ek7u vu84	5k4ek7u vu84
見面好吃	ru04au04cl3t 	ru04au04cl3t 
開好	d9 cl3	d9 cl3
問題資料	jp4wu6y xul4	jp4wu6y xul4
需要可以	vm ul4dk3u3	vm ul4dk3u3
工作討論	ej/ yji4wl3xjp4	ej/ yji4wl3xjp4
修改上傳	vu. e93g;4tj06	vu. e93g;4tj06
完成今天	j06t/6rup wu0 	j06t/6rup wu0 
記得這個	ru42k65k4ek7	ru42k65k4ek7
沒問題見面	ao6jp4wu6ru04au04	ao6jp4wu6ru04au04
