# 通譯輸入法 測資
#
# 一份檔案，用 `## 標籤 ｜ 主測：… ｜ 來源：…` 分節。計分器共用
# `src/bin/common/testdata.rs` 讀這份，**不再各自寫死檔名清單**——
# 從前十支計分器各有一份清單而且子集互不相同，加一個檔要改十處、
# 漏一處那支就默默少量一組。
#
# ## 格式
#
# 資料列三欄，**用 TAB 分隔**（用空白分欄的行會被靜默跳過）：
#
#   文字期望 <TAB> 按鍵期望 <TAB> 按鍵序列
#
#   第一欄 文字期望：各段用 `|` 分隔，`_` = 分隔符空白自成一段
#   第二欄 按鍵期望：**同樣的切法標在按鍵層級**，`|` 就是切點位置
#   第三欄 按鍵序列：使用者實際按的鍵
#
#   第二欄是計分基準——它不需要任何推導，逐字元比對即可。
#   按鍵序列裡的空白可能是「一聲」也可能是「分隔符」，正是要測的東西：
#     `check| |u vu84`   第一個空白是分隔符（前後都切），第二個是「一」的一聲
#
# ## 四種標記，沒有第五種（見 期望基準審核.md §0）
#
#   照寫 `A|B`   正確：段數與每段文字都要一樣
#   `~` 開頭     寬容-段：只比接起來的文字，切成幾段不管
#   ` || `       寬容-列舉：命中任一個就算對（前後**都要有空白**）
#   重產         測資本身寫錯，用 mkkeys 重產
#
# ## 規矩
#
# - **按鍵序列不准手敲**，一律用 mkkeys 產生並當場驗證。舊的 100 組
#   測資就是手敲注音毀掉的（多音字判讀錯），錯的期望會把計分器帶偏
# - **不從詞庫抽樣**——抽到的必然都是引擎查得到的東西，測不出真實使用
#   的樣子。真實輸入會有詞庫沒收的組合、專有名詞、口語說法
# - **刻意保留失敗案例**：測資反映真實需求，不是反映目前的能力。把做
#   不到的排除在外數字會好看，但下次改動時無從得知有沒有修好
# - 加完新測資先跑 `check_testdata`，**要先是 0** 才算數
#
# ## 節標題的「來源」
#
#   人工          人寫的句子，不能重產
#   使用者實測    實際打字時回報的案例，不能重產
#   生成          工具產的，可以整節重產
#
# 保留集（holdout）另外標記：它的規矩是**寫的時候不看引擎輸出**，
# 產測資時不准拿引擎篩選，否則它就失去「證明泛化」的意義。


## cutpoint ｜ 主測：切點 ｜ 來源：人工
# 切點測資：三語所有排列組合
#
# 15 種組合（中/英/日 的單語重複、兩語、三語排列）× 20 句 = 300 句
# 每種組合 10 句有分隔符空白（標成獨立的 `_` 段）、10 句完全黏著。
#
# 標記規則（依「通用語言輸入法 篩選規則」canvas）：
#
# 注音按鍵依「注音按鍵合法表及對照表.md」（使用者核對過）轉換。
#
#
#
已經|_|完成	u3ru/ | |j06t/6	u3ru/  j06t/6
明天|_|記得	au/6wu0 | |ru42k6	au/6wu0  ru42k6
一下|_|沒問題	u vu84| |ao6jp4wu6	u vu84 ao6jp4wu6
好吃|_|買	cl3t | |a93	cl3t  a93
好|_|測試	cl3| |hk4g4	cl3 hk4g4
資料|_|檔案	y xul4| |2;304	y xul4 2;304
可以|_|時間	dk3u3| |g6ru0 	dk3u3 g6ru0 
討論|_|確認	wl3xjp4| |fm,4bp4	wl3xjp4 fm,4bp4
上傳|_|_|已經	g;4tj06| | |u3ru/ 	g;4tj06  u3ru/ 
今天|_|明天	rup wu0 | |au/6wu0 	rup wu0  au/6wu0 
這個一下	5k4ek7u vu84	5k4ek7u vu84
見面好吃	ru04au04cl3t 	ru04au04cl3t 
開好	d9 cl3	d9 cl3
問題資料	jp4wu6y xul4	jp4wu6y xul4
需要可以	vm ul4dk3u3	vm ul4dk3u3
工作討論	ej/ yji4wl3xjp4	ej/ yji4wl3xjp4
修改上傳	vu. e93g;4tj06	vu. e93g;4tj06
完成今天	j06t/6rup wu0 	j06t/6rup wu0 
記得這個	ru42k65k4ek7	ru42k65k4ek7
沒問題見面	ao6jp4wu6ru04au04	ao6jp4wu6ru04au04
notebook|_|test	notebook| |test	notebook test
file|_|data	file| |data	file data
commit|_|deploy	commit| |deploy	commit deploy
client|_|debug	client| |debug	client debug
report|_|push	report| |push	report push
build|_|_|login	build| | |login	build  login
hello|_|world	hello| |world	hello world
check|_|meeting	check| |meeting	check meeting
good|_|notebook	good| |notebook	good notebook
email|_|file	email| |file	email file
reviewcommit	reviewcommit	reviewcommit
serverclient	serverclient	serverclient
configreport	configreport	configreport
mergebuild	mergebuild	mergebuild
searchhello	searchhello	searchhello
updatecheck	updatecheck	updatecheck
buggood	buggood	buggood
testemail	testemail	testemail
datareview	datareview	datareview
deployserver	deployserver	deployserver
美味しい|_|頑張って	oishii| |gannbatte	oishii gannbatte
電話|_|仕事	dennwa| |shigoto	dennwa shigoto
時間|_|会議	jikann| |kaigi	jikann kaigi
電車|_|学校	dennsha| |gakkou	dennsha gakkou
ございます|_|こんにちは	gozaimasu| |konnnichiha	gozaimasu konnnichiha
アニメ|_|寿司	anime| |sushi	anime sushi
あります|_|です	arimasu| |desu	arimasu desu
お願い|_|失礼	onegai| |shitsurei	onegai shitsurei
楽しい|_|美味しい	tanoshii| |oishii	tanoshii oishii
友達|_|電話	tomodachi| |dennwa	tomodachi dennwa
やすみじかん	yasumijikann	yasumijikann
しゃしんでんしゃ || 写真電車	shashinndennsha	shashinndennsha
