# 讀音別字頻（佔比，千分比）——由 gen_reading_freq 產生，不要手改
# 格式：字 注音 千分比
# 意思：這個字的總詞頻裡，念這個音的佔多少。選字排序時用來對字頻打折。
# 沒列出的字＝詞條沒覆蓋到，查表時視為 1000（不打折）。
一 ㄧ 487
一 ㄧˊ 244
一 ㄧˋ 267
丁 ㄉㄧㄥ 1000
丁 ㄓㄥ 1
七 ㄑㄧ 1000
丈 ㄓㄤˋ 1000
三 ㄙㄢ 997
三 ㄙㄢˋ 2
上 ㄕㄤˇ 1
上 ㄕㄤˋ 999
下 ㄒㄧㄚˋ 990
下 ㄒㄧㄚ˙ 9
不 ㄅㄨˊ 450
不 ㄅㄨˋ 549
丐 ㄍㄞˋ 1000
丑 ㄔㄡˇ 1000
且 ㄑㄧㄝˇ 1000
丕 ㄆㄧ 1000
世 ㄕˋ 1000
丘 ㄑㄧㄡ 1000
丙 ㄅㄧㄥˇ 1000
丞 ㄔㄥˊ 1000
丟 ㄉㄧㄡ 1000
並 ㄅㄧㄥˋ 1000
丫 ㄧㄚ 1000
中 ㄓㄨㄥ 930
中 ㄓㄨㄥˋ 69
丰 ㄈㄥ 1000
串 ㄔㄨㄢˋ 1000
丸 ㄨㄢˊ 1000
丹 ㄉㄢ 1000
主 ㄓㄨˇ 1000
乃 ㄋㄞˇ 1000
久 ㄐㄧㄡˇ 1000
么 ㄧㄠ 1000
之 ㄓ 1000
乍 ㄓㄚˋ 1000
乎 ㄏㄨ 1000
乏 ㄈㄚˊ 1000
乒 ㄆㄧㄥ 1000
乓 ㄆㄤ 1000
乖 ㄍㄨㄞ 1000
乘 ㄔㄥˊ 972
乘 ㄕㄥˋ 27
乙 ㄧˇ 1000
乜 ㄇㄧㄝ 1000
乜 ㄋㄧㄝˋ 1
九 ㄐㄧㄡˇ 1000
乞 ㄑㄧˇ 1000
也 ㄧㄝˇ 1000
乩 ㄐㄧ 1000
乳 ㄖㄨˇ 1000
乾 ㄍㄢ 907
乾 ㄑㄧㄢˊ 92
亂 ㄌㄨㄢˋ 1000
了 ㄌㄜ˙ 676
了 ㄌㄧㄠˇ 323
予 ㄩˇ 984
予 ㄩˊ 15
事 ㄕˋ 994
二 ㄦˋ 1000
于 ㄩˊ 1000
云 ㄩㄣˊ 1000
互 ㄏㄨˋ 1000
五 ㄨˇ 1000
井 ㄐㄧㄥˇ 1000
亙 ㄍㄣˋ 668
亙 ㄍㄥˋ 331
些 ㄒㄧㄝ 1000
亞 ㄧㄚˇ 831
亞 ㄧㄚˋ 168
亟 ㄐㄧˊ 1000
亟 ㄑㄧˋ 1
亡 ㄨˊ 5
亡 ㄨㄤˊ 994
亢 ㄎㄤˋ 1000
交 ㄐㄧㄠ 1000
亥 ㄏㄞˋ 1000
亦 ㄧˋ 1000
亨 ㄏㄥ 1000
享 ㄒㄧㄤˇ 1000
京 ㄐㄧㄥ 1000
亭 ㄊㄧㄥˊ 1000
亮 ㄌㄧㄤˋ 1000
人 ㄖㄣˊ 1000
什 ㄕˊ 1
什 ㄕㄜˊ 499
什 ㄕㄣˊ 499
仁 ㄖㄣˊ 1000
仃 ㄉㄧㄥ 1000
仄 ㄗㄜˋ 1000
仆 ㄆㄨ 1000
仇 ㄑㄧㄡˊ 1
仇 ㄔㄡˊ 1000
今 ㄐㄧㄣ 1000
介 ㄐㄧㄝˋ 1000
仍 ㄖㄥˊ 1000
仔 ㄗˇ 599
仔 ㄗㄞˇ 400
仕 ㄕˋ 1000
他 ㄊㄚ 1000
仗 ㄓㄤˋ 1000
付 ㄈㄨˋ 1000
仙 ㄒㄧㄢ 1000
代 ㄉㄞˋ 1000
令 ㄌㄧㄥˋ 1000
以 ㄧˇ 1000
仰 ㄧㄤˇ 1000
仲 ㄓㄨㄥˋ 1000
仳 ㄆㄧˇ 1000
